Distribución;local;dia;bloque_30min;porcentaje_ventas
glovo&local;LLURIA;LUNES;0:00:00;0
glovo&local;LLURIA;LUNES;0:30:00;0
glovo&local;LLURIA;LUNES;1:00:00;0
glovo&local;LLURIA;LUNES;1:30:00;0
glovo&local;LLURIA;LUNES;2:00:00;0
glovo&local;LLURIA;LUNES;2:30:00;0
glovo&local;LLURIA;LUNES;3:00:00;0
glovo&local;LLURIA;LUNES;3:30:00;0
glovo&local;LLURIA;LUNES;4:00:00;0
glovo&local;LLURIA;LUNES;4:30:00;0
glovo&local;LLURIA;LUNES;5:00:00;0
glovo&local;LLURIA;LUNES;5:30:00;0
glovo&local;LLURIA;LUNES;6:00:00;0
glovo&local;LLURIA;LUNES;6:30:00;0
glovo&local;LLURIA;LUNES;7:00:00;0
glovo&local;LLURIA;LUNES;7:30:00;0
glovo&local;LLURIA;LUNES;8:00:00;0
glovo&local;LLURIA;LUNES;8:30:00;0
glovo&local;LLURIA;LUNES;9:00:00;0
glovo&local;LLURIA;LUNES;9:30:00;0
glovo&local;LLURIA;LUNES;10:00:00;0
glovo&local;LLURIA;LUNES;10:30:00;0
glovo&local;LLURIA;LUNES;11:00:00;0
glovo&local;LLURIA;LUNES;11:30:00;0
glovo&local;LLURIA;LUNES;12:00:00;0.001969484
glovo&local;LLURIA;LUNES;12:30:00;0.002255125
glovo&local;LLURIA;LUNES;13:00:00;0.003762269
glovo&local;LLURIA;LUNES;13:30:00;0.005143086
glovo&local;LLURIA;LUNES;14:00:00;0.006658721
glovo&local;LLURIA;LUNES;14:30:00;0.008153038
glovo&local;LLURIA;LUNES;15:00:00;0.007544141
glovo&local;LLURIA;LUNES;15:30:00;0.007225701
glovo&local;LLURIA;LUNES;16:00:00;0.00662193
glovo&local;LLURIA;LUNES;16:30:00;0.006087457
glovo&local;LLURIA;LUNES;17:00:00;0.004483205
glovo&local;LLURIA;LUNES;17:30:00;0.003818729
glovo&local;LLURIA;LUNES;18:00:00;0.003264826
glovo&local;LLURIA;LUNES;18:30:00;0.003432761
glovo&local;LLURIA;LUNES;19:00:00;0.003743679
glovo&local;LLURIA;LUNES;19:30:00;0.004060914
glovo&local;LLURIA;LUNES;20:00:00;0.004504107
glovo&local;LLURIA;LUNES;20:30:00;0.004748209
glovo&local;LLURIA;LUNES;21:00:00;0.005132963
glovo&local;LLURIA;LUNES;21:30:00;0.005088368
glovo&local;LLURIA;LUNES;22:00:00;0.005668275
glovo&local;LLURIA;LUNES;22:30:00;0.005331202
glovo&local;LLURIA;LUNES;23:00:00;0.004685797
glovo&local;LLURIA;LUNES;23:30:00;0
glovo&local;LLURIA;MARTES;0:00:00;0
glovo&local;LLURIA;MARTES;0:30:00;0
glovo&local;LLURIA;MARTES;1:00:00;0
glovo&local;LLURIA;MARTES;1:30:00;0
glovo&local;LLURIA;MARTES;2:00:00;0
glovo&local;LLURIA;MARTES;2:30:00;0
glovo&local;LLURIA;MARTES;3:00:00;0
glovo&local;LLURIA;MARTES;3:30:00;0
glovo&local;LLURIA;MARTES;4:00:00;0
glovo&local;LLURIA;MARTES;4:30:00;0
glovo&local;LLURIA;MARTES;5:00:00;0
glovo&local;LLURIA;MARTES;5:30:00;0
glovo&local;LLURIA;MARTES;6:00:00;0
glovo&local;LLURIA;MARTES;6:30:00;0
glovo&local;LLURIA;MARTES;7:00:00;0
glovo&local;LLURIA;MARTES;7:30:00;0
